hotspot_id,name,city,zone,ward,latitude,longitude,elevation_m,hotspot_type,severity_tier,typical_trigger_rain_1h_mm,typical_trigger_rain_6h_mm,historical_inundation_depth_m,is_real_sourced,source_reference
HS01,Velachery Vijayanagar Junction,Chennai,Zone 13 (Adyar),178,12.9815,80.2180,7.5,marshland_basin_depression,Severe,25.0,60.0,1.8,True,Greater Chennai Corporation (GCC) Chronic Waterlogging Hotspots Registry / TNSDMA
HS02,Madipakkam (Ram Nagar / Kuberan Nagar),Chennai,Zone 14 (Perungudi),188,12.9647,80.1961,6.8,marsh_fringe_depression,Severe,20.0,50.0,2.0,True,GCC Flood Mitigation Master Plan / CMWSSB Basin Studies
HS03,Mudichur (Varadharajapuram / Mudichur Road),Chennai,Tambaram Corporation,42,12.9150,80.0638,12.2,river_floodplain_meander,Severe,30.0,70.0,2.5,True,State Disaster Management Authority (TNSDMA) & CWC Adyar Basin Reports
HS04,T. Nagar (Usman Road / Bazullah Road / GN Chetty),Chennai,Zone 10 (Kodambakkam),136,13.0418,80.2341,10.5,dense_urban_canal_overflow,High,22.0,55.0,1.2,True,Chennai Smart City Mission / GCC Stormwater Audit
HS05,Pulianthope (Dr. Ambedkar College Road / Demellows Road),Chennai,Zone 6 (Thiru Vi Ka Nagar),72,13.0945,80.2660,5.8,low_lying_canal_basin,Severe,18.0,45.0,1.5,True,GCC North Chennai Flood Audits & Health Dept Vector Control Records
HS06,Vyasarpadi (Ganesapuram Subway / Jeeva Railway Station),Chennai,Zone 4 (Tondiarpet),47,13.1112,80.2625,4.2,railway_subway_depression,Severe,15.0,35.0,2.8,True,Greater Chennai Traffic Police Advisory Records & GCC Subway Pump Station Logs
HS07,Perambur (Stephenson Road Subway / Otteri Nullah),Chennai,Zone 6 (Thiru Vi Ka Nagar),74,13.1070,80.2450,6.2,canal_corridor_underpass,High,20.0,50.0,1.7,True,GCC Monsoon Action Plan / PWD Water Resources Department Records
HS08,Koyambedu (SAF Games Village / Wholesale Market / PH Road),Chennai,Zone 8 (Anna Nagar),107,13.0694,80.1948,11.0,river_meander_commercial_junction,High,25.0,60.0,1.3,True,Chennai Metropolitan Development Authority (CMDA) / GCC Zone 8 Logs
HS09,Manapakkam (MIOT Hospital / Mount-Poonamallee Road),Chennai,Zone 12 (Alandur),157,13.0180,80.1802,9.4,river_floodplain_hospital_zone,Severe,28.0,65.0,2.2,True,TNSDMA Disaster Review 2015 & 2023 / CWC Flood Gauging Station Manapakkam
HS10,Pallikaranai (Kamakshi Hospital / Velachery-Tambaram Road),Chennai,Zone 14 (Perungudi),189,12.9382,80.2085,6.0,wetland_corridor_chokepoint,Severe,22.0,55.0,1.9,True,Dept of Environment, Climate Change & Forests (TN) / Pallikaranai Conservation Authority
